tau_high,real_return,income_profile,longevity_pool,passed,fail_years,pool_depletion_year,steady_state_deficit,is_structurally_sustainable,max_state_loan,final_state_loan,peak_longevity_retirees,min_repl_low,min_repl_mid,max_loan_to_assets_ratio,final_longevity_pool,total_longevity_payouts,total_longevity_backstop
0.05,0.0,False,False,False,10,62,-107024810000.0,False,444045024560.0,444045024560.0,0,0.493886764005854,0.4552469943192259,0.1,0.0,0.0,0.0
0.05,0.0,False,True,False,10,57,-107024810000.0,False,485406552850.07776,485406552850.07776,1499879,0.493886764005854,0.4552469943192259,0.10931471495059819,0.0,413615282900.7771,0.0
0.05,0.0,True,False,False,10,58,-138358680230.0,False,327801538938.8,327801538938.8,0,0.39028249523646247,0.36888161622273974,0.1,0.0,0.0,0.0
0.05,0.0,True,True,False,10,54,-138358680230.0,False,354660546801.5811,354660546801.5811,1499879,0.39028249523646247,0.36888161622273974,0.10819367961167371,0.0,268590078627.81097,0.0
0.05,0.005,False,False,False,10,65,-81711101956.17023,False,493019085516.6057,493019085516.6057,0,0.5765379345503545,0.5259060081279372,0.1,0.0,0.0,0.0
0.05,0.005,False,True,False,10,58,-81711101956.17023,False,544586885758.7024,544586885758.7024,1499879,0.5765379345503545,0.5259060081279372,0.11045959512663935,0.0,541284531058.8031,0.0
0.05,0.005,True,False,False,10,59,-119773046715.08786,False,361042334633.45087,361042334633.45087,0,0.44637990363396024,0.4223120445216393,0.10000000000000002,0.0,0.0,0.0
0.05,0.005,True,True,False,10,55,-119773046715.08786,False,394009302702.95044,394009302702.95044,1499879,0.44637990363396024,0.4223120445216393,0.10913105331621828,0.0,342678287371.66614,0.0
0.05,0.01,False,False,False,10,73,-50718623401.626205,False,549806790623.7373,549806790623.7373,0,0.6892146101206506,0.608505276653231,0.1,0.0,0.0,0.0
0.05,0.01,False,True,False,10,60,-50718623401.626205,False,603852021650.1997,603852021650.1997,1499879,0.6892146101206506,0.608505276653231,0.10982985877005082,0.0,728181283555.9434,0.0
0.05,0.01,True,False,False,10,61,-97372906245.69656,False,399187404178.23395,399187404178.23395,0,0.5160128779993295,0.4859517753473545,0.1,0.0,0.0,0.0
0.05,0.01,True,True,False,10,56,-97372906245.69656,False,439829251278.9479,439829251278.9479,1499879,0.5160128779993295,0.4859517753473545,0.11018114466421583,0.0,443197690129.6467,0.0
0.05,0.01735,False,False,True,0,,210136320.34459686,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.05,0.01735,False,True,True,0,,210136320.34459686,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,191379362182.75595,1357069560000.0,0.0
0.05,0.01735,True,False,False,10,67,-55648244558.88275,False,466046872814.2628,466046872814.2628,0,0.658175201537924,0.6002113045102989,0.1,0.0,0.0,0.0
0.05,0.01735,True,True,False,10,58,-55648244558.88275,False,522065989792.62134,522065989792.62134,1499879,0.658175201537924,0.6002113045102989,0.11202006069477141,0.0,674987922114.5433,0.0
0.05,0.025,False,False,True,0,,19830374773.740726,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.05,0.025,False,True,True,0,,19830374773.740726,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,3141477389718.837,1357069560000.0,0.0
0.05,0.025,True,False,True,0,,-5321041518.071678,False,0.0,0.0,0,1.0,0.7300540977824134,0.0,0.0,0.0,0.0
0.05,0.025,True,True,True,0,79,-5321041518.071678,False,95298460451.49039,95298460451.49039,1499879,1.0,0.7300540977824134,0.01715729173941027,27138243005.767944,1163727736054.8857,0.0
0.075,0.0,False,False,False,10,68,-92956929800.0,False,444045024560.0,444045024560.0,0,0.5604128374611581,0.4874185624117742,0.1,0.0,0.0,0.0
0.075,0.0,False,True,False,10,60,-92956929800.0,False,510576524311.2588,510576524311.2588,1499879,0.5604128374611581,0.4874185624117742,0.1149830526346251,0.0,665314997512.5883,0.0
0.075,0.0,True,False,False,10,61,-127034036669.0,False,327801538938.8,327801538938.8,0,0.4401878094738573,0.3959836214351226,0.1,0.0,0.0,0.0
0.075,0.0,True,True,False,10,57,-127034036669.0,False,370559703925.21234,370559703925.21234,1499879,0.4401878094738573,0.3959836214351226,0.11304391831863707,0.0,427581649864.1229,0.0
0.075,0.005,False,False,False,10,75,-67643221756.170235,False,493019085516.6057,493019085516.6057,0,0.6499346320604867,0.5560809047770554,0.1,0.0,0.0,0.0
0.075,0.005,False,True,False,10,62,-67643221756.170235,False,567688534198.194,567688534198.194,1499879,0.6499346320604867,0.5560809047770554,0.11514534647342234,0.0,892043377175.2056,0.0
0.075,0.005,True,False,False,10,64,-108448403154.08786,False,361042334633.45087,361042334633.45087,0,0.4990366688644991,0.44872392800446825,0.1,0.0,0.0,0.0
0.075,0.005,True,True,False,10,58,-108448403154.08786,False,413653557825.23376,413653557825.23376,1499879,0.4990366688644991,0.44872392800446825,0.11457203716710856,0.0,552548626223.5865,0.0
0.075,0.01,False,False,True,0,,-36650743201.626205,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.075,0.01,False,True,False,10,68,-36650743201.626205,False,603693827387.7103,603693827387.7103,1499879,0.7767652035009153,0.6342800317769597,0.10887476146087435,46778477693.91113,1214659505338.4722,0.0
0.075,0.01,True,False,False,10,67,-86048262684.69656,False,399187404178.23395,399187404178.23395,0,0.5729968804851481,0.5111535297148488,0.1,0.0,0.0,0.0
0.075,0.01,True,True,False,10,59,-86048262684.69656,False,464266485741.55273,464266485741.55273,1499879,0.5729968804851481,0.5111535297148488,0.11630288954063829,0.0,730590127740.4993,0.0
0.075,0.01735,False,False,True,0,,14278016520.344597,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.075,0.01735,False,True,True,0,,14278016520.344597,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,2180428174094.0396,1357069560000.0,0.0
0.075,0.01735,True,False,False,3,87,-44323600997.88275,False,466046872814.2628,466046872814.2628,0,0.7294481487958286,0.6210179705642881,0.1,0.0,0.0,0.0
0.075,0.01735,True,True,False,10,63,-44323600997.88275,False,542372798451.27765,542372798451.27765,1499879,0.7294481487958286,0.6210179705642881,0.1157272420497896,26178848042.858948,1168345617448.0713,0.0
0.075,0.025,False,False,True,0,,33898254973.74073,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.075,0.025,False,True,True,0,,33898254973.74073,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,6196334947065.295,1357069560000.0,0.0
0.075,0.025,True,False,True,0,,6003602042.928322,True,0.0,0.0,0,1.0,0.7300540977824134,0.0,0.0,0.0,0.0
0.075,0.025,True,True,True,0,,6003602042.928322,True,0.0,0.0,1499879,1.0,0.7300540977824134,0.0,1897582644507.9956,1357069560000.0,0.0
0.1,0.0,False,False,False,10,76,-78889049600.0,False,444045024560.0,444045024560.0,0,0.6269389109164624,0.5195901305043226,0.1,0.0,0.0,0.0
0.1,0.0,False,True,False,10,64,-78889049600.0,False,527963436457.9293,527963436457.9293,1499879,0.6269389109164624,0.5195901305043226,0.11889862677350867,0.0,947163058979.2936,0.0
0.1,0.0,True,False,False,10,65,-115709393108.0,False,327801538938.8,327801538938.8,0,0.4900931237112522,0.42308562664750554,0.09999999999999999,0.0,0.0,0.0
0.1,0.0,True,True,False,10,59,-115709393108.0,False,388020276406.60345,388020276406.60345,1499879,0.4900931237112522,0.42308562664750554,0.11837048650312962,0.0,602187374678.0338,0.0
0.1,0.005,False,False,True,0,92,-53575341556.17023,False,407876830816.3282,407876830816.3282,0,1.0,0.7,0.08273043433783868,0.0,0.0,0.0
0.1,0.005,False,True,False,10,68,-53575341556.17023,False,573978159481.3145,573978159481.3145,1499879,0.723331329570619,0.5862558014261737,0.11499247406408153,61250229590.97949,1247250195703.1865,0.0
0.1,0.005,True,False,False,10,69,-97123759593.08786,False,361042334633.45087,361042334633.45087,0,0.5516934340950379,0.4751358114872971,0.1,0.0,0.0,0.0
0.1,0.005,True,True,False,10,61,-97123759593.08786,False,435307928095.5886,435307928095.5886,1499879,0.5516934340950379,0.4751358114872971,0.12056977432785995,0.0,789679951594.0763,0.0
0.1,0.01,False,False,True,0,,-22582863001.626205,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.1,0.01,False,True,True,0,83,-22582863001.626205,False,361735313122.2159,361735313122.2159,1499879,1.0,0.7,0.05920229429880555,612089097078.5294,1357069560000.0,0.0
0.1,0.01,True,False,False,10,75,-74723619123.69656,False,399187404178.23395,399187404178.23395,0,0.6299808829709667,0.5363552840823431,0.1,0.0,0.0,0.0
0.1,0.01,True,True,False,10,63,-74723619123.69656,False,489466713867.69824,489466713867.69824,1499879,0.6299808829709667,0.5363552840823431,0.12261577112517191,0.0,1072271180235.9205,0.0
0.1,0.01735,False,False,True,0,,28345896720.344597,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.1,0.01735,False,True,True,0,,28345896720.344597,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,4169476986005.3223,1357069560000.0,0.0
0.1,0.01735,True,False,True,0,,-32998957436.88275,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.1,0.01735,True,True,False,10,71,-32998957436.88275,False,551690894289.3353,551690894289.3353,1499879,0.8007210960537331,0.6418246366182774,0.10628068688312525,530416939504.76685,1357069560000.0,0.0
0.1,0.025,False,False,True,0,,47966135173.74072,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.1,0.025,False,True,True,0,,47966135173.74072,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,9251192504411.75,1357069560000.0,0.0
0.1,0.025,True,False,True,0,,17328245603.92832,True,0.0,0.0,0,1.0,0.7300540977824134,0.0,0.0,0.0,0.0
0.1,0.025,True,True,True,0,,17328245603.92832,True,0.0,0.0,1499879,1.0,0.7300540977824134,0.0,4120285651079.358,1357069560000.0,0.0
0.125,0.0,False,False,False,6,88,-64821169400.0,False,444045024560.0,444045024560.0,0,0.6934649843717665,0.5517616985968709,0.1,0.0,0.0,0.0
0.125,0.0,False,True,False,10,68,-64821169400.0,False,538113870794.31177,538113870794.31177,1499879,0.6934649843717665,0.5517616985968709,0.11996404685426816,45175947454.410065,1217665564888.7073,0.0
0.125,0.0,True,False,False,10,70,-104384749547.0,False,327801538938.8,327801538938.8,0,0.539998437948647,0.45018763185988847,0.09999999999999999,0.0,0.0,0.0
0.125,0.0,True,True,False,10,62,-104384749547.0,False,407073875542.6348,407073875542.6348,1499879,0.539998437948647,0.45018763185988847,0.12418302759055529,0.0,792723366038.3479,0.0
0.125,0.005,False,False,True,0,,-39507461356.17023,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.125,0.005,False,True,False,10,76,-39507461356.17023,False,574985297053.8584,574985297053.8584,1499879,0.7967280270807514,0.616430698075292,0.10698749909691366,444131396567.42096,1357069560000.0,0.0
0.125,0.005,True,False,False,10,75,-85799116032.08786,False,361042334633.45087,361042334633.45087,0,0.6043501993255768,0.5015476949701261,0.1,0.0,0.0,0.0
0.125,0.005,True,True,False,10,64,-85799116032.08786,False,455849262271.52716,455849262271.52716,1499879,0.6043501993255768,0.5015476949701261,0.126259227393466,0.0,1057096711480.8251,0.0
0.125,0.01,False,False,True,0,,-8514982801.626205,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.125,0.01,False,True,True,0,,-8514982801.626205,False,0.0,0.0,1499879,1.0,0.7,0.0,1646578608813.419,1357069560000.0,0.0
0.125,0.01,True,False,False,5,88,-63398975562.69656,False,399187404178.23395,399187404178.23395,0,0.6869648854567852,0.5615570384498375,0.1,0.0,0.0,0.0
0.125,0.01,True,True,False,10,67,-63398975562.69656,False,504423504762.1051,504423504762.1051,1499879,0.6869648854567852,0.5615570384498375,0.1221281687163071,138405729576.84756,1341216369131.126,0.0
0.125,0.01735,False,False,True,0,,42413776920.3446,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.125,0.01735,False,True,True,0,,42413776920.3446,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,6158525797916.607,1357069560000.0,0.0
0.125,0.01735,True,False,True,0,,-21674313875.88275,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.125,0.01735,True,True,True,0,88,-21674313875.88275,False,234278807646.7488,234278807646.7488,1499879,1.0,0.7,0.03859181584055053,1410217570079.683,1357069560000.0,0.0
0.125,0.025,False,False,True,0,,62034015373.74072,True,0.0,0.0,0,1.0,0.9784315555132819,0.0,0.0,0.0,0.0
0.125,0.025,False,True,True,0,,62034015373.74072,True,0.0,0.0,1499879,1.0,0.9784315555132819,0.0,12306050061758.207,1357069560000.0,0.0
0.125,0.025,True,False,True,0,,28652889164.92832,True,0.0,0.0,0,1.0,0.7300540977824134,0.0,0.0,0.0,0.0
0.125,0.025,True,True,True,0,,28652889164.92832,True,0.0,0.0,1499879,1.0,0.7300540977824134,0.0,6342988657650.721,1357069560000.0,0.0
0.15,0.0,False,False,True,0,,-50753289200.0,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.0,False,True,False,10,74,-50753289200.0,False,537577232460.15454,537577232460.15454,1499879,0.7599910578270707,0.5839332666894193,0.11435801790541858,260376529001.5454,1357069560000.0,0.0
0.15,0.0,True,False,False,10,75,-93060105986.0,False,327801538938.8,327801538938.8,0,0.589903752186042,0.4772896370722713,0.09999999999999999,0.0,0.0,0.0
0.15,0.0,True,True,False,10,64,-93060105986.0,False,423139562832.91626,423139562832.91626,1499879,0.589903752186042,0.4772896370722713,0.12908406842834125,0.0,1000046348941.1617,0.0
0.15,0.005,False,False,True,0,,-25439581156.170227,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.005,False,True,True,0,90,-25439581156.170227,False,245939693908.4926,245939693908.4926,1499879,1.0,0.7,0.04118017486242731,1042093010313.2849,1357069560000.0,0.0
0.15,0.005,True,False,False,10,84,-74474472471.08786,False,361042334633.45087,361042334633.45087,0,0.6570069645561156,0.5279595784529549,0.1,0.0,0.0,0.0
0.15,0.005,True,True,False,10,67,-74474472471.08786,False,470577725597.0071,470577725597.0071,1499879,0.6570069645561156,0.5279595784529549,0.12759204529421447,77719786036.33794,1280787566792.0095,0.0
0.15,0.01,False,False,True,0,,5552897398.373795,True,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.01,False,True,True,0,,5552897398.373795,True,0.0,0.0,1499879,1.0,0.7,0.0,2993449669238.08,1357069560000.0,0.0
0.15,0.01,True,False,True,0,,-52074332001.69656,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.01,True,True,False,10,72,-52074332001.69656,False,518994363575.61255,518994363575.61255,1499879,0.7439488879426039,0.5867587928173318,0.11328167907166735,589576090566.7064,1357069560000.0,0.0
0.15,0.01735,False,False,True,0,,56481657120.3446,True,0.0,0.0,0,1.0,0.7306187373573851,0.0,0.0,0.0,0.0
0.15,0.01735,False,True,True,0,,56481657120.3446,True,0.0,0.0,1499879,1.0,0.7306187373573851,0.0,8147574609827.889,1357069560000.0,0.0
0.15,0.01735,True,False,True,0,,-10349670314.882751,False,0.0,0.0,0,1.0,0.7,0.0,0.0,0.0,0.0
0.15,0.01735,True,True,True,0,,-10349670314.882751,False,0.0,0.0,1499879,1.0,0.7,0.0,2656921531545.582,1357069560000.0,0.0
